site_no,latitude_dms,longitude_dms
385807104485001,"38°58'07.01""","104°48'50.07"""
401702103483901,"40°17'01.12""","103°48'38.48"""
384949104424501,"38°49'48.70""","104°42'45.0"""
392934104414901,"39°29'28.68""","104°41'45.98"""
375531105255201,"37°55'40.48""","105°25'56.68"""
381947108513801,"38°19'46.96""","108°51'37.86"""
392616103591001,"39°26'17.16""","103°59'11.98"""
390010104385101,"39°00'09.89""","104°38'50.70"""
381132105355301,"38°11'31.6""","105°35'53.4"""
381937108514601,"38°19'36.73""","108°51'45.68"""
385818104525901,"38°58'17.50""","104°52'58.80"""
404106103082201,"40°41'06.03""","103°08'22.28"""
385132104551001,"38°51'32""","104°55'10"""
391929104574101,"39°19'22.18""","104°57'40.27"""
402213104015501,"40°22'12.88""","104°01'54.47"""
405658102231201,"40°56'58.84""","102°23'11.80"""
400711104481801,"40°07'11.85""","104°48'16.52"""
402955103163501,"40°29'54.51""","103°16'29.93"""
393040105003201,"39°30'32.91""","105°00'32.78"""
385435107014201,"38°54'34.78""","107°01'42.10"""
393226104394401,"39°32'18.18""","104°40'09.34"""
381814105374301,"38°18'14.41""","105°37'42.74"""
380714105273801,"38°07'14.38""","105°27'37.76"""
385128104544701,"38°51'28""","104°54'47"""
385208104324401,"38°52'07.84""","104°32'44.10"""
385827104525201,"38°58'27.07""","104°52'52.23"""
395605105473100,"39°56'05.34""","105°47'33.45"""
381333105364801,"38°13'33.0""","105°36'48.5"""
383631106052401,"38°36'30.81""","106°05'24.27"""
381409105343401,"38°14'09.4""","105°34'33.8"""
392149104415501,"39°21'42.84""","104°41'53.47"""
393253104484401,"39°32'53.8""","104°48'44.6"""
382947107465801,"38°29'47""","107°46'58"""
381947108514701,"38°19'46.86""","108°51'47.09"""
383626107581501,"38°36'26""","107°58'15"""
385732104204501,"38°57'32.42""","104°20'44.55"""
384542106515101,"38°45'41.74""","106°51'51.08"""
384240108000701,"38°42'40""","108°00'07"""
391229104421901,"39°12'22.40""","104°42'18.79"""
385109106565701,"38°51'09.08""","106°56'56.56"""
391829104385301,"39°18'25.51""","104°38'49.21"""
390756104453801,"39°07'50.15""","104°45'35.11"""
383232106554700,"38°32'31.88""","106°55'48.74"""
383051107525501,"38°30'51""","107°52'55"""
393902103554001,"39°39'02""","103°55'40"""
382656107500701,"38°26'56.15""","107°50'07.69"""
393259104491001,"39°32'59.62""","104°49'11.4"""
383315107525201,"38°33'15""","107°52'52"""
402658104400001,"40°26'59.56""","104°39'50.71"""
405801102284501,"40°57'59.14""","102°28'42.46"""
391654104464501,"39°16'48.55""","104°46'46.54"""
374012105410401,"37°40'16.1""","105°41'05.6"""
384322106095401,"38°43'22.09""","106°09'53.60"""
390900106191901,"39°08'59.79""","106°19'21.70"""
380445105324301,"38°04'45.30""","105°32'42.54"""
402150103322801,"40°21'50.17""","103°32'26.66"""
390148104285401,"39°01'47.51""","104°28'53.69"""
395136108210004,"39°51'36.48""","108°21'03.44"""
385821104194601,"38°58'21.01""","104°19'45.49"""
383844107572801,"38°38'44""","107°57'28"""
382323104200701,"38°23'22.82""","104°20'08.94"""
385727104225101,"38°57'21.66""","104°22'53.73"""
393252104492101,"39°32'51.83""","104°49'23.15"""
384540106513001,"38°45'39.58""","106°51'29.73"""
383320106555401,"38°33'20.20""","106°55'53.51"""
385858104335701,"38°58'56.63""","104°33'59.34"""
384745104413601,"38°47'45.05""","104°41'36.11"""
380732105304701,"38°07'30.04""","105°30'50.65"""
390740103055801,"39°07'40""","103°05'58"""
395136108210000,"39°51'36""","108°21'04"""
380652105341801,"38°06'52.06""","105°34'18.44"""
391656104473001,"39°16'43.87""","104°47'28.54"""
385858104335702,"38°58'57.10""","104°33'59.03"""
384933106064301,"38°49'32.62""","106°06'43.27"""
395136108210001,"39°51'36""","108°21'01"""
384110107591801,"38°41'08""","107°59'06"""
392412104434201,"39°24'00.07""","104°43'41.47"""
382427107491401,"38°24'27""","107°49'14"""
392058104364401,"39°20'58.84""","104°36'44.49"""
385900104494501,"38°58'59.76""","104°49'45.25"""
395755108211401,"39°57'53""","108°21'13"""
453107106110601,"45°31'07""","106°11'06"""
451746106301101,"45°17'46""","106°30'11"""
452416106413001,"45°24'16""","106°41'30"""
455024107355601,"45°50'23.6""","107°35'56"""
454302108392001,"45°43'02""","108°39'20"""
450524112380701,"45°05'24""","112°38'07"""
454149108415401,"45°41'49""","108°41'54"""
480550113585001,"48°05'50""","113°58'50"""
481558104492301,"48°15'57.8""","104°49'22.7"""
471740114051301,"47°17'40""","114°05'13"""
453136112420301,"45°31'35.8""","112°42'01.9"""
480736106200201,"48°07'36""","106°20'02"""
481357104475701,"48°13'57.33""","104°47'57.27"""
481713105052804,"48°17'13""","105°05'28"""
455313113093401,"45°53'13""","113°09'34"""
455016107360402,"45°50'16""","107°36'04"""
480728105243901,"48°07'28""","105°24'39"""
475209115241901,"47°52'08.64""","115°24'19.48"""
471729114052201,"47°17'28.64""","114°05'22.16"""
484623108252201,"48°46'23""","108°25'22"""
470709106061401,"47°07'09""","106°06'14"""
480034105195401,"48°00'33.71""","105°19'51.63"""
471735114052701,"47°17'35""","114°05'27"""
471736114052601,"47°17'36.38""","114°05'26.23"""
484047112353301,"48°40'46.9""","112°35'32.6"""
480746105080104,"48°07'46""","105°08'01"""
460005112391901,"46°00'07.9""","112°39'34.1"""
483148106281601,"48°31'48.9""","106°28'16.5"""
480621115244901,"48°06'21.1""","115°24'48.9"""
472203111112602,"47°22'04""","111°11'26"""
454043110005101,"45°40'43.1""","111°00'51.3"""
480844104382601,"48°08'47.7""","104°38'42.3"""
453910106172601,"45°39'10.5""","106°17'25.5"""
462148114062801,"46°21'48""","114°06'28"""
483320109451101,"48°33'19.9""","109°45'12.8"""
470207114210901,"47°02'06.7""","114°21'09.1"""
471729114052101,"47°17'29""","114°05'21"""
462641110561701,"46°26'41""","110°56'17"""
452454106273801,"45°24'54.00""","106°27'37.94"""
403501091420401,,
372521089362401,,
391825091285101,,
374649090242601,,
375907091432201,"37°59'10""","91°43'22"""
365634093542701,"36°56'34""","93°54'27"""
381652093215501,,
381045091564801,,
395355095051601,,
383929092464901,,
393640092303901,"39°36'38.8""","92°30'38.8"""
370539093494002,,
363442090364301,,
384455093201001,,
375930094222001,"37°59'30.9""","94°22'01.7"""
370005093122401,,
370224094320201,,
